,text,count
1077,對手,2
1078,輸掉,3
1079,接關,2
1080,好說,2
1081,豬頭,5
1082,搖滾,11
1083,超能力,3
1084,so,5
1085,give,1
1086,me,8
1087,rockn,1
1088,roll,1
1089,耳機,2
1090,失火,1
1091,麻辣鍋,2
1092,吉他手,4
1093,演奏,5
1094,本事,1
1095,樣子,4
1096,國語版,3
1097,爛命,1
1098,影子,5
1099,地上,6
1100,抓著,1
1101,額頭,1
1102,流下,2
1103,流進,1
1104,眼眶,4
1105,跳動,2
1106,飛翔,11
1107,多麼,8
1108,戰場,9
1109,裝進,1
1110,紙箱,1
1111,寄送到,1
1112,天堂,36
1113,會不會,17
1114,匆忙,1
1115,不經意,3
1116,佔有,1
1117,初衷,2
1118,透露,3
1119,即將,2
1120,擺脫,1
1121,惡夢,1
1122,擾嚷,1
1123,天下,2
1124,陣容,1
1125,狂飆,1
1126,愛意,1
1127,完全,5
1128,雙頰,2
1129,星座,1
1130,建造,1
1131,王國,1
1132,不同,8
1133,真實,8
1134,赤裸,1
1135,可否,1
1136,退縮,1
1137,保留,1
1138,擁抱,26
1139,變好,1
1140,眼神,11
1141,咆哮,1
1142,解藥,1
1143,胡鬧,3
1144,切過,1
1145,二十,1
1146,蛋糕,1
1147,跌倒,4
1148,像是,14
1149,賽跑,1
1150,過程,2
1151,名次,1
1152,美妙,2
1153,收錄,1
1154,總統,1
1155,小時候,11
1156,作文簿,7
1157,志願,7
1158,幻想,16
1159,如今,17
1160,躲藏,8
1161,走出,2
1162,網咖,2
1163,凌晨,2
1164,三點鐘,2
1165,帝國,2
1166,直達,2
1167,戰慄,2
1168,時空,2
1169,回到,11
1170,目標,4
1171,現實,6
1172,god,4
1173,開心,6
1174,失落,3
1175,我我,3
1176,蝴蝶,4
1177,飛出,4
1178,潛水鐘,3
1179,原地,3
1180,停留,3
1181,後悔,15
1182,複雜,3
1183,懶惰,2
1184,懷疑,4
1185,五十,2
1186,五百萬分之一,2
1187,奇蹟,7
1188,降落,6
1189,從此,7
1190,以後,14
1191,還可以,5
1192,努力,4
1193,追求,4
1194,Have,6
1195,you,7
1196,ever,6
1197,wanna,11
1198,spaceman,2
1199,president,2
1200,Or,2
1201,youre,2
1202,still,2
1203,daydreaming,2
1204,maker,2
1205,存在,11
1206,感慨,2
1207,顫抖,4
1208,下來,2
1209,推翻,5
1210,精彩,8
1211,好好,7
1212,計算,1
1213,準確,1
1214,精心,1
1215,打造,1
1216,劃開,1
1217,動脈,1
1218,也許,34
1219,醒來,1
1220,至少,16
1221,無法,32
1222,毀壞,1
1223,遺憾,21
1224,無關,2
1225,時時刻刻,1
1226,嘲笑,2
1227,OH,16
1228,repeat,1
1229,機車,1
1230,熄火,1
1231,好爛,1
1232,放縱,6
1233,插手,1
1234,多少,22
1235,逃走,2
1236,翻過,2
1237,圍牆,2
1238,教室,1
1239,裡頭,5
1240,奔向,10
